Count, j, Group, H1
1, 9, "A5", 2
2, 11, "C5 x A4", 2
3, 28, "A4 x D10", 2
4, 37, "(C5 x C5) : S3", 5
5, 40, "C2 x ((C5 x C5) : C3)", 5
6, 45, "GL(2,4)", 2
7, 57, "A4 x (C5 : C4)", 2
8, 69, "C5 x A5", 2
9, 70, "(C2 x C2) : ((C5 x C5) : C3)", 10
10, 77, "C2 x ((C5 x C5) : S3)", 5
11, 94, "A5 x S3", 2
12, 126, "(C5 x C5) : SL(2,3)", 2
13, 128, "A5 x D10", 2
14, 141, "(C5 x C5) : (C2 x A4)", 2
15, 148, "C2 x ((C2 x C2) : ((C5 x C5) : C3))", 5
16, 149, "(C5 x C5) : S4", 5
17, 154, "(C5 x C5) : S4", 5
18, 163, "A4 x A5", 2
19, 214, "(C2 x C2 x C2 x C2) : A5", 2
20, 223, "C3 x A6", 2
21, 233, "(C5 x C5) : (((C4 x C2) : C2) : C3)", 2
22, 240, "(C5 x C5) : (C4 x A4)", 2
23, 245, "A5 x (C5 : C4)", 2
24, 256, "C2 x ((C5 x C5) : S4)", 5
25, 259, "A4 x S5", 2
26, 270, "C5 x ((C2 x C2) : ((C5 x C5) : C3))", 2
27, 271, "(C5 x C5 x C5) : A4", 2
28, 277, "(C5 x C5 x C5) : A4", 2
29, 279, "(C5 x C5 x C5) : A4", 2
30, 281, "(C5 x C5 x C5) : A4", 2
31, 332, "(C2 x C2 x C2 x C2) : S5", 2
32, 333, "(C2 x C2 x C2 x C2) : S5", 2
33, 344, "C2 x ((C2 x C2 x C2 x C2) : A5)", 2
34, 358, "A6 x S3", 2
35, 361, "C3 x S6", 2
36, 362, "A6 : S3", 2
37, 420, "(C5 x C5 x C5) : (C2 x A4)", 2
38, 421, "(C5 x C5 x C5) : (C2 x A4)", 2
39, 425, "(C5 x C5 x C5) : (C2 x A4)", 2
40, 426, "(C5 x C5 x C5) : (C2 x A4)", 2
41, 428, "(C5 x C5) : SL(2,5)", 2
42, 444, "(C5 x C5 x C5) : (C2 x A4)", 2
43, 472, "A5 x A5", 2
44, 524, "C2 x ((C2 x C2 x C2 x C2) : S5)", 2
45, 535, "S6 x S3", 2
46, 549, "(C3 x C3 x C3 x C3) . A5", 2
47, 558, "(C3 x C3 x C3 x C3) : A5", 2
48, 562, "(C3 x C3 x C3 x C3) : A5", 2
49, 588, "(C5 x C5 x C5) : ((C4 x C4) : C3)", 2
50, 589, "(C5 x C5 x C5) : ((C4 x C4) : C3)", 2
51, 596, "(C5 x C5 x C5) : (C4 x A4)", 2
52, 602, "(C5 x C5) : (SL(2,5) : C2)", 2
53, 603, "(C5 x C5 x C5) : (C4 x A4)", 2
54, 605, "(C5 x C5 x C5) : (C4 x A4)", 2
55, 618, "(C5 x C5 x C5) : (C4 x A4)", 2
56, 622, "(C5 x C5 x C5) : (C4 x A4)", 2
57, 625, "(C5 x C5 x C5) : ((C2 x C2 x C2 x C2) : C3)", 2
58, 648, "A5 x S5", 2
59, 663, "(C5 x C5 x C5) . A5", 2
60, 664, "C5 x ((C5 x C5 x C5) : A4)", 2
61, 668, "(C5 x C5 x C5) : A5", 2
62, 717, "(C3 x C3 x C3 x C3) : (C2 x A5)", 2
63, 733, "(C3 x C3 x C3 x C3) : (C2 x A5)", 2
64, 766, "(C5 x C5 x C5) : (C2 x ((C2 x C2 x C2 x C2) : C3))", 2
65, 770, "(C5 x C5 x C5) : (C2 x ((C4 x C4) : C3))", 2
66, 792, "(C5 x C5 x C5) : (C2 x ((C4 x C4) : C3))", 2
67, 808, "PSL(2,29)", 2
68, 828, "C3 x ((C3 x C3 x C3 x C3) . A5)", 2
69, 829, "((C3 x C3 x C3 x C3) : A5) : C3", 2
70, 832, "C3 x ((C3 x C3 x C3 x C3) : A5)", 2
71, 833, "((C3 x C3 x C3 x C3) . A5) : C3", 2
72, 837, "((C3 x C3 x C3 x C3) . A5) : C3", 2
73, 844, "((C3 x C3 x C3 x C3) : A5) : C3", 2
74, 866, "(C5 x C5 x C5 x C5) : SL(2,3)", 2
75, 868, "(C5 x C5 x C5) : (C2 x A5)", 2
76, 878, "(C5 x C5 x C5 x C5) : (C2 x A4)", 2
77, 963, "(C5 x C5 x C5) : (C4 x ((C2 x C2 x C2 x C2) : C3))", 2
78, 979, "(C5 x C5 x C5) : ((C4 x C4 x C2 x C2) : C3)", 2
79, 988, "(C5 x C5 x C5) : (C4 x ((C4 x C4) : C3))", 2
80, 989, "(C5 x C5 x C5) : (C4 x ((C4 x C4) : C3))", 2
81, 1019, "(C3 x C3 x C3 x C3) : A6", 2
82, 1023, "((C3 x C3 x C3 x C3) : A5) : S3", 2
83, 1027, "((C3 x C3 x C3 x C3) : A5) : S3", 2
84, 1036, "(C3 x C3 x C3 x C3) : (A5 x S3)", 2
85, 1054, "(C5 x C5 x C5 x C5) : (((C4 x C2) : C2) : C3)", 2
86, 1058, "(C5 x C5 x C5) : (C4 x A5)", 2
87, 1064, "(C5 x C5 x C5 x C5) : (C4 x A4)", 2
88, 1110, "(C5 x C5 x C5 x C5 x C5) : A4", 2
89, 1165, "C3 x (((C3 x C3 x C3 x C3) . A5) : C3)", 2
90, 1166, "C3 x (((C3 x C3 x C3 x C3) : A5) : C3)", 2
91, 1167, "(C3 x C3 x C3 x C3 x C3 x C3) : A5", 2
92, 1168, "(C3 x C3 x C3 x C3 x C3 x C3) : A5", 2
93, 1204, "(C5 x C5 x C5) : (C2 x ((C4 x C4 x C2 x C2) : C3))", 2
94, 1245, "(C3 x C3 x C3 x C3) : (C2 x A6)", 2
95, 1248, "(C3 x C3 x C3 x C3) : S6", 2
96, 1317, "(C5 x C5 x C5 x C5) : SL(2,5)", 2
97, 1321, "(C5 x C5 x C5 x C5 x C5) : (C2 x A4)", 2
98, 1378, "C3 : (((C3 x C3 x C3 x C3) : A5) : S3)", 2
99, 1383, "(C3 x C3 x C3 x C3 x C3) . A6", 2
100, 1384, "(C3 x C3 x C3 x C3 x C3) . A6", 2
101, 1385, "(C3 x C3 x C3 x C3 x C3 x C3) : (C2 x A5)", 2
102, 1389, "((C3 x C3 x C3 x C3) : A6) : C3", 2
103, 1394, "((C3 x C3 x C3 x C3) : A6) : C3", 2
104, 1439, "(C5 x C5 x C5) : (C4 x ((C4 x C4 x C2 x C2) : C3))", 2
105, 1464, "(C3 x C3 x C3 x C3) : (C2 x S6)", 2
106, 1523, "(C5 x C5 x C5 x C5 x C5) : (C4 x A4)", 2
107, 1524, "(C5 x C5 x C5 x C5) : (SL(2,5) : C2)", 2
108, 1564, "((C3 x C3 x C3 x C3) : A6) : C6", 2
109, 1569, "((C3 x C3 x C3 x C3) : A6) : S3", 2
110, 1575, "((C3 x C3 x C3 x C3) : A6) : S3", 2
111, 1577, "((C3 x C3 x C3 x C3 x C3) . A6) : C2", 2
112, 1578, "((C3 x C3 x C3 x C3) : A6) : S3", 2
113, 1612, "(C5 x C5 x C5 x C5 x C5) : A5", 2
114, 1616, "(C5 x C5 x C5 x C5 x C5 x C5) : A4", 2
115, 1617, "C5 x ((C5 x C5 x C5 x C5 x C5) : A4)", 2
116, 1688, "((C3 x C3 x C3 x C3 x C3) . A6) : C3", 2
117, 1689, "((C3 x C3 x C3 x C3 x C3) . A6) : C3", 2
118, 1695, "((C3 x C3 x C3 x C3) : A6) : (C3 x C3)", 2
119, 1705, "(C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C5\
 x C5) : C3)", 5
120, 1722, "((C3 x C3 x C3 x C3) : A6) : D12", 2
121, 1759, "(C5 x C5 x C5 x C5 x C5 x C5) : SL(2,3)", 2
122, 1765, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x A4)", 2
123, 1769, "(C5 x C5 x C5 x C5 x C5) : (C2 x A5)", 2
124, 1777, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x A4)", 2
125, 1859, "((C3 x C3 x C3 x C3 x C3) . A6) : C6", 2
126, 1861, "((C3 x C3 x C3 x C3) : A6) : (C3 x S3)", 2
127, 1863, "((C3 x C3 x C3 x C3) : A6) : ((C3 x C3) : C2)", 2
128, 1882, "((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C\
5 x C5) : C3)) : C2", 5
129, 1883, "C2 x ((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) \
: ((C5 x C5) : C3))", 5
130, 1884, "((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2) : ((C\
5 x C5) : C3)) : C2", 5
131, 1933, "(C5 x C5 x C5 x C5 x C5) : (C4 x A5)", 2
132, 1938, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C2) : C2) : C3)", 2
133, 1944, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C4 x C4) : C3)", 2
134, 1956, "(C5 x C5 x C5 x C5 x C5 x C5) : (C4 x A4)", 2
135, 1964, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C4 x C4) : C3)", 2
136, 1966, "(C5 x C5 x C5 x C5 x C5 x C5) : (C4 x A4)", 2
137, 1967, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C2 x C2 x C2 x C2) : C3)", 2
138, 2012, "(C5 x C5 x C5 x C5 x C5 x C5) : A5", 2
139, 2013, "C5 x ((C5 x C5 x C5 x C5 x C5) : A5)", 2
140, 2033, "((C3 x C3 x C3 x C3) : A6) : (S3 x S3)", 2
141, 2056, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : A5", 2
142, 2067, "C2 x (((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2)\
 : ((C5 x C5) : C3)) : C2)", 5
143, 2069, "(C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x \
C2) : ((C5 x C5) : C3)", 5
144, 2139, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x ((C2 x C2 x C2 x C2) : C3))"\
, 2
145, 2151, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x ((C4 x C4) : C3))", 2
146, 2163, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x ((C4 x C4) : C3))", 2
147, 2165, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C2) : C4) : C3)", 2
148, 2174, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C2 x C2 x Q8) : C3)", 2
149, 2191, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C2) : C4) : C3)", 2
150, 2197, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C4) : C2) : C3)", 2
151, 2199, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C4) : C2) : C3)", 2
152, 2203, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C2 x C2 x C2) : C2) : C3)"\
, 2
153, 2227, "(C5 x C5 x C5 x C5 x C5) : (A5 x D10)", 2
154, 2229, "(C5 x C5 x C5 x C5 x C5 x C5) : SL(2,5)", 2
155, 2233, "(C5 x C5 x C5 x C5 x C5 x C5) : SL(2,5)", 2
156, 2234, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x A5)", 2
157, 2282, "(C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : (C2 x A5)", 2
158, 2301, "((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2) : ((C5 x C5) : C3)) : C2", 5
159, 2303, "C2 x ((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2 x C2) : ((C5 x C5) : C3))", 5
160, 2310, "((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x\
 C2) : ((C5 x C5) : C3)) : C2", 5
161, 2334, "(C2 x C2) : ((A5 x A5 x A5) : C3)", 2
162, 2335, "(A5 x A5 x A5) : A4", 2
163, 2337, "(A5 x A5 x A5) : A4", 2
164, 2382, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C2 x C2 x ((C4 x C2) : C2)) : C3\
)", 2
165, 2400, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C2 x C2) . (C2 x C2 x C2))\
 : C3)", 2
166, 2418, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C4) : C4) : C3)", 2
167, 2420, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C8 x C8) : C3)", 2
168, 2422, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C2 x Q8) : C2) : C3)", 2
169, 2428, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x (((C4 x C4) : C2) : C3))", 2
170, 2429, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C4) : C4) : C3)", 2
171, 2431, "(C5 x C5 x C5 x C5 x C5 x C5) : (C4 x ((C2 x C2 x C2 x C2) : C3))"\
, 2
172, 2432, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C2) : Q8) : C3)", 2
173, 2433, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x ((C4 x C2) : C2)) : C2) : \
C3)", 2
174, 2440, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((C4 x C2) : C4) : C2) : C3)", 2
175, 2442, "(C5 x C5 x C5 x C5 x C5 x C5) : (C4 x ((C4 x C4) : C3))", 2
176, 2444, "(C5 x C5 x C5 x C5 x C5 x C5) : (C4 x ((C4 x C4) : C3))", 2
177, 2448, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x (((C4 x C4) : C2) : C3))", 2
178, 2449, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C4 x C4 x C2 x C2) : C3)", 2
179, 2458, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x ((C4 x C2) : C2)) : C2) : \
C3)", 2
180, 2471, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((C4 x C2) : C4) : C2) : C3)", 2
181, 2473, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x (((C2 x C2 x C2 x C2) : C2) \
: C3))", 2
182, 2478, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C4) : C4) : C3)", 2
183, 2481, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x C4) : C4) : C3)", 2
184, 2514, "(C3 x C3 x C3 x C3) : ((C3 x C3 x C3 x C3 x C3 x C3) : A5)", 2
185, 2515, "C3 x ((C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3 x C3) : A5)", 2
186, 2517, "(C5 x C5 x C5 x C5 x C5 x C5) : (C4 x A5)", 2
187, 2519, "C5 : ((C5 x C5 x C5 x C5 x C5) : (C4 x A5))", 2
188, 2520, "(C5 x C5 x C5 x C5 x C5 x C5) : (SL(2,5) : C2)", 2
189, 2522, "(C5 x C5 x C5 x C5 x C5 x C5) : (SL(2,5) : C2)", 2
190, 2595, "C2 x (((C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 x C2 \
x C2 x C2) : ((C5 x C5) : C3)) : C2)", 5
191, 2613, "(C2 x C2) : ((A5 x A5 x A5) : C6)", 2
192, 2615, "(A5 x A5 x A5) : (C2 x A4)", 2
193, 2621, "(A5 x A5 x A5) : (C2 x A4)", 2
194, 2683, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C4 x ((C4 x C2) : C2)) : C2) : \
C3)", 2
195, 2686, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x ((C4 x C4 x C2 x C2) : C3))"\
, 2
196, 2690, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((C2 x ((C4 x C2) : C2)) : C2) :\
 C2) : C3)", 2
197, 2700, "(C5 x C5 x C5 x C5 x C5 x C5) : (C4 x (((C4 x C4) : C2) : C3))", 2
198, 2701, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C4 x D8) : C2) : C3)", 2
199, 2706, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C2 x C2) . (C2 x C2 x C2 x\
 C2)) : C3)", 2
200, 2729, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C4 x D8) : C2) : C3)", 2
201, 2734, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C2 x C2 x C2) . (C2 x C2 x C2 x\
 C2)) : C3)", 2
202, 2744, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((C4 x C4 x C2) : C2) : C2) : C3\
)", 2
203, 2749, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((C2 x (C4 : C4)) : C2) : C2) : \
C3)", 2
204, 2763, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C8 x C2) : C8) : C3)", 2
205, 2778, "(C5 x C5 x C5 x C5 x C5 x C5) : ((((C4 x C4) : C4) : C2) : C3)", 2
206, 2789, "(C5 x C5 x C5 x C5 x C5 x C5) : (C2 x ((C8 x C8) : C3))", 2
207, 2807, "(C5 x C5 x C5 x C5 x C5 x C5) : (((((C4 x C2) : C4) : C2) : C2) : \
C3)", 2
208, 2826, "(C5 x C5 x C5 x C5 x C5 x C5) : (((C8 x C8) : C2) : C3)", 2
209, 2830, "(C5 x C5 x C5 x C5 x C5 x C5) : (C4 x (((C2 x C2 x C2 x C2) : C2) \
: C3))", 2
210, 2847, "(C5 x C5 x C5 x C5 x C5 x C5) : ((C4 x C4 x Q8) : C3)", 2
